worker_id,age,gender,industry,job_role,experience_years,safety_training,safety_equipment_used,shift,working_hours_per_week,environment_risk,injury_history,injury_occurred
1,56,female,mining,blaster,3,yes,yes,day,37,medium,0,0
2,36,female,construction,builder,6,yes,yes,day,52,low,0,0
3,53,male,construction,builder,6,no,yes,night,31,medium,0,0
4,19,female,mining,driller,2,no,no,day,50,low,0,0
5,42,male,manufacturing,assembler,7,no,yes,night,57,high,1,1
7,56,male,manufacturing,technician,0,yes,yes,day,55,medium,0,0
8,24,male,mining,driller,8,no,no,night,37,medium,0,0
9,53,female,manufacturing,welder,6,no,yes,night,35,medium,0,0
10,46,male,mining,driller,2,yes,no,night,47,low,0,0
11,53,female,construction,electrician,7,yes,yes,day,37,high,0,0
12,57,male,healthcare,paramedic,5,yes,no,day,50,medium,0,1
13,41,female,healthcare,lab technician,0,yes,no,day,58,low,0,1
14,24,female,construction,plumber,2,no,no,day,38,high,0,1
16,26,female,agriculture,irrigation technician,7,yes,no,night,37,medium,0,1
17,40,female,healthcare,lab technician,8,yes,yes,night,69,medium,0,0
20,49,male,agriculture,irrigation technician,2,no,no,day,68,low,0,0
21,21,male,manufacturing,technician,4,yes,yes,day,44,low,0,0
22,49,male,healthcare,nurse,6,yes,no,day,36,low,0,1
24,37,female,manufacturing,quality inspector,7,yes,yes,day,59,low,1,1
25,42,male,mining,driller,2,yes,yes,day,56,low,0,0
26,58,male,mining,surveyor,4,yes,no,night,32,low,0,0
28,58,female,mining,machine operator,4,no,no,night,41,high,0,1
29,54,male,mining,blaster,5,no,no,day,52,low,0,0
31,23,female,agriculture,farmer,7,yes,yes,day,40,high,0,1
32,55,female,agriculture,farmer,1,no,no,day,53,high,0,0
33,39,female,mining,driller,2,yes,no,night,62,high,0,1
34,33,female,healthcare,paramedic,5,no,yes,day,58,low,1,1
35,43,female,mining,blaster,0,yes,yes,night,61,medium,0,0
37,42,male,agriculture,harvester,5,yes,yes,day,64,medium,0,1
39,54,female,agriculture,irrigation technician,4,no,no,day,64,low,0,0
40,37,male,construction,builder,5,yes,no,day,53,high,0,0
41,28,female,mining,driller,7,no,yes,night,54,high,0,1
42,35,female,manufacturing,assembler,10,yes,yes,night,31,low,0,0
44,29,female,manufacturing,quality inspector,4,yes,yes,night,51,high,0,1
45,55,female,mining,blaster,4,yes,no,day,37,medium,0,0
46,47,male,construction,foreman,6,yes,yes,day,62,medium,0,0
47,22,female,manufacturing,welder,4,yes,yes,night,33,medium,0,0
48,34,male,mining,surveyor,0,yes,yes,night,57,medium,0,1
50,40,female,mining,driller,7,no,yes,night,62,low,0,1
51,42,male,mining,machine operator,8,no,yes,day,32,high,0,1
52,49,female,healthcare,paramedic,3,yes,yes,day,51,medium,0,0
53,59,female,healthcare,paramedic,6,yes,no,night,62,medium,0,0
54,56,female,healthcare,lab technician,6,yes,yes,night,58,low,0,0
55,42,male,manufacturing,assembler,2,no,no,night,36,medium,0,0
56,18,female,construction,builder,5,yes,no,day,37,medium,0,0
57,29,female,mining,driller,0,no,yes,night,51,medium,0,1
58,39,female,mining,surveyor,11,no,no,night,51,medium,0,1
59,32,male,construction,electrician,2,no,no,day,62,medium,1,0
62,36,male,agriculture,irrigation technician,7,no,no,day,57,high,0,1
63,43,female,agriculture,irrigation technician,2,yes,yes,day,30,low,0,0
65,22,female,healthcare,paramedic,1,yes,yes,day,41,high,0,1
66,39,male,mining,machine operator,10,yes,no,day,58,medium,0,1
67,47,male,mining,machine operator,6,no,no,night,41,medium,0,0
68,38,female,construction,foreman,7,yes,no,night,68,low,0,0
71,41,male,agriculture,harvester,6,yes,yes,night,49,medium,0,0
72,50,female,construction,foreman,7,yes,yes,night,62,medium,0,0
73,29,female,construction,builder,6,no,yes,night,39,low,0,0
74,29,male,healthcare,paramedic,4,no,yes,night,60,medium,0,1
75,52,female,mining,machine operator,8,no,yes,night,58,high,1,0
76,58,female,construction,builder,1,yes,yes,night,36,low,0,0
77,28,male,healthcare,nurse,6,no,no,night,50,low,1,0
78,41,female,manufacturing,technician,6,no,no,night,64,high,1,1
80,42,male,mining,blaster,5,yes,yes,day,64,low,0,0
81,37,male,healthcare,lab technician,3,yes,no,night,48,medium,0,1
82,58,male,agriculture,irrigation technician,7,yes,no,day,48,medium,0,0
83,31,female,manufacturing,quality inspector,4,yes,yes,day,45,low,0,0
84,42,male,manufacturing,assembler,11,no,no,night,50,low,0,0
86,46,male,healthcare,lab technician,2,no,yes,night,40,medium,0,1
87,27,female,construction,foreman,5,no,no,night,67,high,0,0
90,21,female,manufacturing,technician,0,yes,yes,day,65,low,0,1
91,56,male,healthcare,paramedic,7,no,no,night,68,medium,0,1
92,45,male,mining,surveyor,4,no,yes,night,49,medium,0,1
94,50,female,manufacturing,technician,8,yes,yes,day,67,medium,0,0
95,49,male,construction,electrician,0,yes,no,night,45,medium,0,0
96,54,male,construction,plumber,6,yes,no,day,65,medium,0,0
97,35,male,manufacturing,assembler,3,no,yes,day,44,medium,0,0
98,20,female,agriculture,irrigation technician,3,yes,yes,night,45,medium,0,0
99,27,male,healthcare,paramedic,11,yes,no,night,37,low,0,0
100,25,female,mining,machine operator,2,yes,yes,day,57,low,0,0
101,44,male,construction,plumber,6,yes,yes,night,62,medium,0,0
104,50,male,mining,driller,10,yes,yes,day,30,low,0,0
106,58,male,manufacturing,quality inspector,9,yes,no,day,64,medium,0,1
107,23,male,construction,electrician,6,no,yes,day,34,low,1,0
109,18,female,manufacturing,quality inspector,5,yes,yes,night,30,medium,0,0
110,45,male,construction,plumber,6,yes,yes,day,60,high,0,0
111,51,male,manufacturing,assembler,8,no,no,night,41,low,0,0
112,47,female,construction,foreman,4,yes,no,night,59,medium,0,0
113,40,male,manufacturing,assembler,6,no,no,night,31,low,0,0
114,51,male,healthcare,lab technician,9,no,yes,night,67,low,0,0
115,32,male,mining,machine operator,7,no,no,day,67,low,0,0
116,47,female,manufacturing,quality inspector,4,yes,yes,night,46,medium,1,0
117,27,female,manufacturing,quality inspector,5,yes,yes,day,31,medium,0,0
118,28,female,manufacturing,assembler,3,yes,yes,day,52,medium,0,1
120,36,female,healthcare,nurse,6,yes,no,day,50,high,0,1
121,39,male,construction,electrician,0,no,no,night,63,high,0,1
122,44,male,construction,plumber,4,no,no,night,38,high,0,1
123,39,female,healthcare,lab technician,7,no,no,night,64,medium,0,1
124,39,male,manufacturing,welder,3,no,yes,night,43,low,0,0
125,41,female,healthcare,lab technician,4,no,yes,night,36,high,0,0
126,35,female,agriculture,irrigation technician,5,yes,no,day,67,medium,0,1
127,42,male,healthcare,nurse,2,no,yes,day,68,medium,0,1
128,43,female,manufacturing,technician,6,yes,no,night,54,high,1,0
129,20,male,healthcare,lab technician,4,yes,yes,night,65,high,0,0
131,58,female,mining,blaster,7,yes,no,night,63,medium,0,0
132,23,female,agriculture,farmer,4,yes,yes,day,66,low,1,0
133,23,male,healthcare,lab technician,3,no,yes,day,40,medium,0,0
134,41,female,manufacturing,quality inspector,3,yes,no,night,38,medium,0,0
136,55,male,healthcare,paramedic,7,no,no,day,31,low,0,0
137,22,female,construction,plumber,3,no,yes,night,48,low,0,0
138,29,female,construction,builder,1,no,yes,night,30,low,0,1
139,54,female,agriculture,irrigation technician,7,yes,yes,day,42,medium,0,1
140,27,female,healthcare,nurse,5,yes,yes,night,34,medium,0,0
141,30,male,healthcare,nurse,3,yes,no,night,66,high,0,1
142,32,female,manufacturing,quality inspector,5,no,yes,night,53,high,0,0
143,48,female,agriculture,farmer,5,no,yes,night,41,low,0,0
144,39,female,construction,builder,5,no,no,night,58,high,0,0
145,31,male,manufacturing,assembler,6,no,yes,night,66,high,0,0
146,43,male,agriculture,irrigation technician,6,no,no,night,33,low,0,0
147,35,female,mining,blaster,4,no,yes,day,43,low,1,0
148,32,female,construction,electrician,8,no,no,night,62,medium,0,0
149,19,male,agriculture,harvester,7,no,no,night,68,low,0,0
150,24,female,manufacturing,welder,5,no,yes,night,37,low,0,1
151,46,male,manufacturing,technician,10,no,no,day,56,high,0,1
152,50,male,healthcare,nurse,4,yes,yes,night,66,low,0,1
153,21,male,agriculture,irrigation technician,9,yes,yes,day,39,high,0,0
154,48,male,agriculture,harvester,6,yes,no,day,65,high,0,0
155,32,male,construction,plumber,3,yes,yes,day,33,low,0,0
156,48,female,agriculture,irrigation technician,6,yes,yes,night,65,low,0,0
157,22,male,healthcare,lab technician,1,yes,no,night,52,medium,0,0
158,29,female,construction,builder,2,yes,yes,night,55,medium,0,0
159,42,female,mining,blaster,7,no,no,day,41,medium,0,0
160,22,male,healthcare,nurse,2,no,yes,day,66,low,0,1
161,45,female,construction,plumber,3,no,no,night,58,low,0,0
162,28,female,mining,driller,4,no,yes,night,52,medium,0,1
163,43,female,healthcare,paramedic,12,yes,no,night,50,medium,0,0
164,27,male,manufacturing,technician,6,no,yes,day,55,high,0,1
165,42,male,mining,machine operator,0,no,yes,day,56,medium,0,1
166,41,male,construction,plumber,0,no,no,night,54,high,0,1
167,41,female,mining,surveyor,8,no,yes,day,51,low,0,1
168,24,male,healthcare,nurse,2,no,no,day,46,medium,1,0
169,45,female,construction,electrician,0,yes,no,day,36,low,0,1
170,40,female,manufacturing,technician,5,yes,yes,day,48,medium,0,0
171,46,male,healthcare,nurse,12,yes,yes,day,47,medium,0,0
172,19,male,healthcare,paramedic,1,no,no,night,57,medium,0,1
173,21,male,construction,builder,5,yes,yes,day,68,medium,0,0
174,36,female,manufacturing,quality inspector,4,no,no,night,63,low,0,1
175,45,female,construction,builder,8,no,yes,night,32,medium,0,0
176,25,female,construction,foreman,0,yes,yes,night,66,high,0,0
177,25,male,mining,blaster,4,no,yes,day,43,medium,0,0
178,33,male,manufacturing,technician,3,yes,no,night,33,low,1,0
179,35,male,healthcare,lab technician,5,no,yes,night,47,high,1,1
181,37,female,construction,foreman,1,no,yes,night,59,low,0,0
182,52,female,manufacturing,welder,10,no,yes,night,51,high,0,1
183,47,female,agriculture,harvester,7,yes,no,night,61,medium,0,1
184,31,male,agriculture,harvester,4,yes,yes,day,38,high,0,0
185,56,male,manufacturing,technician,6,yes,yes,day,33,low,0,0
186,51,male,agriculture,irrigation technician,1,yes,yes,night,52,medium,0,0
187,38,female,construction,foreman,4,no,yes,night,63,low,0,0
188,29,female,healthcare,lab technician,9,no,yes,night,52,medium,0,1
189,44,female,manufacturing,quality inspector,9,yes,yes,night,36,high,0,0
190,38,female,mining,blaster,9,no,yes,night,57,high,0,1
191,19,female,construction,electrician,6,no,yes,day,65,medium,0,1
